symbol,timestamp,currentPrice,rd,min,max,avg,macd,rsi,bollingerBands,ema,adx,stochK,stochD,volume,williamsR,atr,cci
TDG,2024-04-19T11:34:34-04:00[America/New_York],1211.719970703125,0.0161416087016034,1203.8199462890625,1235.280029296875,1220.220001220703125,-3.4118423122612247141458821002,44.713953787865166704722709132786,"(1200.2982401885886366279740590922,1220.9654405175807071283929219833,1241.6326408465727776288117848744)",1220.9654405175807071283929219833,17.650227029669717714977726265660,17.724954672188169304170158688424,29.511646463152551595192056631920,50468,-82.275045327811830695829841311576,15.427277738171541327806304382812,-82.790727365623934395153276333901
TT,2024-04-19T11:40:36-04:00[America/New_York],292.4200134277344,0.025916050842567647,289.55999755859375,304.6700134277344,297.521253585815425,-1.97067457914154175973421217026,38.794143596519948698180501486667,"(288.43477917833720353080891184114,296.40981306757229351593064210678,304.38484695680738350105237237242)",296.40981306757229351593064210678,18.398907578361219013911192195271,16.417988889648199113232913410038,5.472662963216066371077637803346,247757,-83.582011110351800886767086589962,3.1094556729200525737904138567221,-131.08135547795697764046612485478
CTAS,2024-04-19T11:39:26-04:00[America/New_York],664.0,0.033521139273118165,662.4400024414062,687.030029296875,672.0143699645996,-5.49015135170884489562894940615,33.558738091300262810283352716733,"(657.83709155606472674786529321400,671.49068551864423996191301508882,685.14427948122375317596073696364)",671.49068551864423996191301508882,30.312765797785844488870403977913,5.7713628942848111748875307984769,7.2656763333858326332400902445097,75928,-94.228637105715188825112469201523,5.8320850136742151093123713571822,-109.36491387974984581604372707781
ORLY,2024-04-19T11:40:22-04:00[America/New_York],1089.6650390625,0.03473793994994477,1069.27001953125,1140.2099609375,1103.08657073974609375,-10.5463794910972668038799854128,39.844991777833944483541634768767,"(1059.0121895964437974708334544963,1100.1180870291259397306783274756,1141.2239844618080819905232004549)",1100.1180870291259397306783274756,34.437653389864732899219929310947,25.506540138497050525775839958964,32.397501190781519070824020811197,75051,-74.493459861502949474224160041036,15.445229922283446894278748261145,-48.818487063164376187762895600223
FDX,2024-04-19T11:40:07-04:00[America/New_York],267.3999938964844,0.07710360009268809,263.07000732421875,289.739990234375,272.5262470245361375,-6.12028153064783996922334287014,30.846386355787388684991390634051,"(258.38184810017585274074624033458,272.06802133768319082409433132166,285.75419457519052890744242230874)",272.06802133768319082409433132166,51.504461460109311717430869898682,15.820194902214483776732154405370,5.6387470359551033308803306350303,559367,-84.179805097785516223267845594630,2.6912478185938245413166006755828,-65.532151335248386726572161221902
NOC,2024-04-19T11:40:43-04:00[America/New_York],458.67718505859375,0.04174741664361351,450.3500061035156,478.6600036621094,458.443572998046875,-6.04880669408457486669665771045,39.710073871129456471462305776347,"(444.26912870381563768993894724069,459.05368289174876304900501848132,473.83823707968188840807108972195)",459.05368289174876304900501848132,34.532132602059955253256389207583,27.392041536038415495343130760149,13.352145817836193836775241032287,180530,-72.607958463961584504656869239851,4.6791516182798129684341928005235,-16.924836767832284610992242662533
USB,2024-04-19T11:40:48-04:00[America/New_York],40.0,0.10514542914362089,39.439998626708984,44.70000076293945,42.2206246852874748125,-1.177425067003645324324610152654,21.488367126700368026803261397051,"(38.685526318518812835191176214773,41.843425195289529114138602695896,45.001324072060245393086029177019)",41.843425195289529114138602695896,31.112428286436186084675716143203,10.237682784630753529223841159218,3.4125609282102511764079470530727,4489966,-89.762317215369246470776158840782,0.58627649488213548200775410735085,-117.21442291905831015674250487324
PXD,2024-04-19T11:40:44-04:00[America/New_York],271.0400085449219,-0.03253336588541676,262.5,275.32000732421875,269.685626983642578125,1.62821333221403611674217006784,60.796725174358328552491978633775,"(262.29750977717151918623591518520,268.90701777137000156505494021956,275.51652576556848394387396525392)",268.90701777137000156505494021956,27.301303072137111183641460940260,52.296482346323637521287267466000,39.395864830502514939097109669003,896185,-47.703517653676362478712732534000,2.3698925537188537983694971980584,36.302396995279853659961171612005
PCAR,2024-04-19T11:40:34-04:00[America/New_York],111.80999755859375,0.09750586722550285,111.80999755859375,123.88999938964844,119.1393747329711925,-2.39080765398429617608298985166,10.743287049899359814584306423460,"(111.83543349602519663468868320809,118.29050662813080737077208882598,124.74557976023641810685549444387)",118.29050662813080737077208882598,29.618118767895308963133554959634,0,0,1446225,-100,1.8300074988730650528890207579442,-189.81451779836781601691648301187
ECL,2024-04-19T11:40:35-04:00[America/New_York],218.2899932861328,0.05461239040138224,218.2899932861328,230.89999389648438,223.76312255859375,-3.05056141587209865234110195758,24.746485403275528558217345456557,"(215.03877244102320980597869210778,222.98754453363186126298540488863,230.93631662624051271999211766948)",222.98754453363186126298540488863,54.978541396638862810850071198151,0E+1,1.0109596058618377972916076080129,281316,-100,1.7986409600497084456296136981987,-101.66760152408754766786608015778
